cdr_type,subscriber_id,related_party_id,start_time,end_time,duration_sec,volume_uplink,volume_downlink,status,network_element_id,location_or_rat,imei,apn,message_id
MSC,1234567890,9876543210,2026-05-01 08:00:00,2026-05-01 08:05:30,330,,,,normal,MSC_01,12345,,,
MSC,2345678901,8765432109,2026-05-01 09:15:22,2026-05-01 09:20:10,288,,,,normal,MSC_02,12346,,,
MSC,3456789012,7654321098,2026-05-01 10:30:45,2026-05-01 10:35:15,270,,,,normal,MSC_03,12347,,,
MSC,4567890123,6543210987,2026-05-01 11:45:10,2026-05-01 11:50:40,330,,,,busy,MSC_01,12348,,,   
MSC,5678901234,5432109876,2026-05-01 12:00:00,2026-05-01 12:10:00,600,,,,normal,MSC_02,12349,,,
MSC,6789012345,4321098765,2026-05-01 13:20:30,2026-05-01 13:25:45,315,,,,normal,MSC_03,12350,,,
MSC,7890123456,3210987654,2026-05-01 14:35:15,2026-05-01 14:38:30,195,,,,normal,MSC_01,12351,,,
MSC,8901,2109876543,2026-05-01 15:50:00,2026-05-01 15:55:20,320,,,,no_answer,MSC_02,12352,,,
MSC,115,9988776655,2026-05-01 18:20:30,2026-05-01 18:28:00,450,,,,normal,MSC_01,12354,,,
MSC,2233445566,8877665544,2026-05-01 19:40:10,2026-05-01 19:45:30,320,,,,normal,MSC_02,12355,,,
MSC,3344556677,7766554433,2026-05-01 20:55:00,2026-05-01 21:00:15,315,,,,normal,MSC_03,12356,,,
MSC,4455667788,6655443322,2026-05-01 22:10:20,2026-05-01 22:10:20,0,,,,normal,MSC_01,12357,,,
MSC,5566778899,5544332211,2026-05-01 23:25:45,2026-05-01 23:30:00,255,,,,normal,MSC_02,12358,,,
MSC,6677889900,4433221100,2026-05-02 00:40:15,2026-05-02 00:45:35,320,,,,normal,MSC_03,12359,,,
MSC,7788990011,3322110099,2026-05-02 02:00:30,2026-05-02 02:05:50,320,,,,normal,MSC_01,12360,,,
MSC,8899001122,2211009988,2026-05-02 03:15:00,2026-05-02 03:20:20,320,,,,normal,MSC_02,12361,,,
MSC,9900112233,1100998877,2026-05-02 04:30:45,2026-05-02 04:35:15,270,,,,normal,MSC_03,12362,,,
MSC,1011121314,9988776655,2026-05-02 05:45:30,2026-05-02 05:50:00,270,,,,normal,MSC_01,12363,,,
MSC,1213141516,8877665544,2026-05-02 07:00:10,2026-05-02 07:05:40,330,,,,normal,MSC_02,12364,,,

SMSC,1234567890,9876543210,2026-05-01 08:02:00,2026-05-01 08:02:05,5,160,,delivered,SMSC_01,,,,"MSG1001"
SMSC,2345678901,8765432109,2026-05-01 09:17:00,2026-05-01 09:17:03,3,256,,delivered,SMSC_02,,,,"MSG1002"
SMSC,3456789012,7654321098,2026-05-01 10:33:00,2026-05-01 10:33:06,6,112,,delivered,SMSC_03,,,,"MSG1003"
SMSC,4567890123,6543210987,2026-05-01 11:47:00,2026-05-01 11:47:02,2,80,,delivered,SMSC_01,,,,"MSG1004"
SMSC,564,5432109876,2026-05-01 12:02:00,2026-05-01 12:02:08,8,320,,delivered,SMSC_02,,,,"MSG1005"   
SMSC,678,4321098765,2026-05-01 13:22:00,2026-05-01 13:22:04,4,140,,delivered,SMSC_03,,,,"MSG1006"   
SMSC,7890123456,3210987654,2026-05-01 14:37:00,2026-05-01 14:37:05,5,200,,pending,SMSC_01,,,,"MSG1007"   
SMSC,8901234567,2109876543,2026-05-01 15:52:00,2026-05-01 15:52:07,7,95,,fail,SMSC_02,,,,"MSG1008"   
SMSC,9012345678,1098765432,2026-05-01 17:07:00,2026-05-01 17:07:03,3,180,,delivered,SMSC_03,,,,"MSG1009"
SMSC,1122334455,9988776655,2026-05-01 18:22:00,2026-05-01 18:22:10,10,500,,delivered,SMSC_01,,,,"MSG1010"
SMSC,2233445566,8877665544,2026-05-01 19:42:00,2026-05-01 19:42:04,4,64,,delivered,SMSC_02,,,,"MSG1011"
